label,ID,time,TD1,CELLS,FB1,FB2,FB3,FB4,RTK1i_blood,RAFi_gut,RAFi_blood,MEKi_gut,MEKi_blood,ERKi_gut,ERKi_blood,AKTi_gut,AKTi_blood,MEKi_V3,RTK1i_gut,ERKi,ERKi_C,RAFi,MEKi,TUMOR,GDC,labelf,gdc
VEMU,184,56,0.33712061487721723,0.9091518378556522,0.022434756736870835,0.022434755799484566,0.02243475572797664,0.721332098477743,0,1027.1278135989269,11312.187527109696,0,0,0,0,0,0,0,0,0,0,43.65190605181714,0,0.9091518378556522,0,VEMU,FALSE
VEMU,185,56,0.21140279581658108,0.6894089574376936,1.3642995749587428e-6,1.3642995590422178e-6,1.3642995580421106e-6,0.5173932793459189,0,1508.3757648724572,7721.662498045555,0,0,0,0,0,0,0,0,0,0,80.6573940260785,0,0.6894089574376936,0,VEMU,FALSE
VEMU,186,56,0.994790107329038,1.8550321838656443,0.5708804942962515,0.5708804942959717,0.5708804942959501,0.7905392877623777,0,1029.1017218178486,5417.648483453186,0,0,0,0,0,0,0,0,0,0,82.57752386969089,0,1.8550321838656443,0,VEMU,FALSE
VEMU,187,56,0.9839054535088737,1.9492681023865863,0.39393501834636274,0.39393489499941886,0.39393488355893197,0.6409529244313348,0,960.2357898254533,3093.630901722699,0,0,0,0,0,0,0,0,0,0,36.70253004029631,0,1.9492681023865863,0,VEMU,FALSE
VEMU,188,56,0.9946587648045033,1.1747503840326226,0.5710543848474688,0.5710543848472364,0.5710543848472145,0.7776716378870068,0,960.0252809323305,5793.207340774827,0,0,0,0,0,0,0,0,0,0,71.13281781400886,0,1.1747503840326226,0,VEMU,FALSE
VEMU,189,56,0.997236993949257,1.7133286332430289,0.7124167039164931,0.7124167036525609,0.7124167036364552,0.6701308208799325,0,1921.864558497607,5256.25836138192,0,0,0,0,0,0,0,0,0,0,80.60861768212631,0,1.7133286332430289,0,VEMU,FALSE
VEMU,190,56,0.9988102011802471,1.3062220442037267,0.9476483580424246,0.9476483580424186,0.9476483580424185,0.7798792558810429,0,1751.524811720003,6699.2003468520325,0,0,0,0,0,0,0,0,0,0,120.5983168400189,0,1.3062220442037267,0,VEMU,FALSE
VEMU,191,56,0.997979751466107,0.8718353400921932,0.809427220978469,0.8094272203162458,0.8094272202616642,0.7137988213417122,0,965.8958158909275,7304.863600279112,0,0,0,0,0,0,0,0,0,0,47.0125617725481,0,0.8718353400921932,0,VEMU,FALSE
VEMU,192,56,0.8100417227045325,1.4618227657932512,0.11105370827031684,0.11105368893168874,0.11105368723256175,0.6888031157978057,0,961.5596365074007,4746.576309254394,0,0,0,0,0,0,0,0,0,0,37.42806189286173,0,1.4618227657932512,0,VEMU,FALSE
VEMU,193,56,0.9987022412540099,1.2129305879443355,0.9114178449530583,0.9114178449525888,0.9114178449525626,0.953764808107622,0,3035.7727602998775,7126.555486174382,0,0,0,0,0,0,0,0,0,0,37.075708368580884,0,1.2129305879443355,0,VEMU,FALSE
VEMU,194,56,0.8100411644654593,1.461893343293681,0.11105353341412817,0.11105353239153784,0.11105353231939909,0.6888031436325165,0,1726.2690328335111,5946.247171833931,0,0,0,0,0,0,0,0,0,0,51.431238788109596,0,1.461893343293681,0,VEMU,FALSE
VEMU,195,56,0.9987305240292967,1.3111481866095274,0.9231549715324582,0.923154971532462,0.9231549715324644,0.789736047168529,0,1593.2141310766797,21072.01436249563,0,0,0,0,0,0,0,0,0,0,45.010300506606654,0,1.3111481866095274,0,VEMU,FALSE
VEMU,196,56,0.9972369946971462,1.7133285494614814,0.7124167571858824,0.7124167529955733,0.7124167526688493,0.6701308199482787,0,1003.6030340703553,2608.251014206762,0,0,0,0,0,0,0,0,0,0,67.51132002689396,0,1.7133285494614814,0,VEMU,FALSE
VEMU,197,56,0.9927925791963342,1.6294671573678496,0.47507447389135016,0.47507447282396736,0.4750744727404294,0.8014548338281844,0,990.684726239659,6702.578971384872,0,0,0,0,0,0,0,0,0,0,60.717774184589416,0,1.6294671573678496,0,VEMU,FALSE
VEMU,198,56,0.4547510203849701,1.2922212359338976,0.011125980694394114,0.011125973530936452,0.011125972935000112,0.7155334118609822,0,966.7895860601129,2422.0696189631244,0,0,0,0,0,0,0,0,0,0,44.082291188986204,0,1.2922212359338976,0,VEMU,FALSE
VEMU,199,56,0.9984571978303282,1.9469751541533742,0.8664048172887282,0.8664048172816854,0.8664048172811613,0.7450175649210833,0,1029.7296823364522,8830.281768698753,0,0,0,0,0,0,0,0,0,0,61.48719063773473,0,1.9469751541533742,0,VEMU,FALSE
VEMU,200,56,0.9957607882617204,1.1688319422811604,0.5644084094152877,0.5644084093574819,0.564408409352927,0.8398859230496547,0,986.8899374240382,5336.0439756086535,0,0,0,0,0,0,0,0,0,0,43.42865605790702,0,1.1688319422811604,0,VEMU,FALSE
VEMU,201,56,0.9164314164622432,1.400161250198484,0.16431120519306971,0.16431118915008885,0.1643111876708405,0.6597675848576381,0,960.3147195029624,10109.49715226665,0,0,0,0,0,0,0,0,0,0,39.859203357864025,0,1.400161250198484,0,VEMU,FALSE
VEMU,202,56,0.9164311910463159,1.400150564305348,0.1643109636882786,0.16431095608744153,0.16431095538797022,0.6597676789767131,0,960.4100218933183,5417.9331344010425,0,0,0,0,0,0,0,0,0,0,75.82671535048796,0,1.400150564305348,0,VEMU,FALSE
VEMU,203,56,0.9945232602816558,1.0992309014243165,0.5594436137822587,0.5594436135441907,0.5594436135269053,0.6668866466020863,0,1085.8218485247187,5276.024456552385,0,0,0,0,0,0,0,0,0,0,59.521593099659555,0,1.0992309014243165,0,VEMU,FALSE
VEMU,204,56,0.9950109416149582,1.3131109822158786,0.559726228931361,0.5597262288452104,0.5597262288389967,0.7888469178450567,0,1109.1800133456297,3776.9227080352084,0,0,0,0,0,0,0,0,0,0,65.17454317559532,0,1.3131109822158786,0,VEMU,FALSE
VEMU,205,56,0.9944575250597004,0.9907492586012964,0.551394247286017,0.5513942467018389,0.5513942466487798,0.6452863122020842,0,960.000230265014,11382.923801960791,0,0,0,0,0,0,0,0,0,0,88.80121128538595,0,0.9907492586012964,0,VEMU,FALSE
VEMU,206,56,0.997113220536888,1.0850933687090951,0.6523924246068666,0.6523924245299261,0.6523924245239621,0.9497988295726408,0,1001.8954744923236,3632.958064568605,0,0,0,0,0,0,0,0,0,0,35.51535756069535,0,1.0850933687090951,0,VEMU,FALSE
VEMU,207,56,0.9712322839756679,1.4635991385485754,0.23088898962632054,0.23088898148724063,0.23088898081930143,0.7020907347666244,0,986.5387676845855,4486.978275255416,0,0,0,0,0,0,0,0,0,0,62.54787807649178,0,1.4635991385485754,0,VEMU,FALSE
VEMU,208,56,0.9161549553124756,1.3183115806942185,0.12442369736756227,0.1244236894727099,0.12442368889000582,0.6639319496465677,0,1059.1874932389735,12800.317158582637,0,0,0,0,0,0,0,0,0,0,53.08389699857618,0,1.3183115806942185,0,VEMU,FALSE
VEMU,209,56,0.995010941664918,1.3131109947388746,0.5597262313132829,0.559726231286191,0.5597262312845128,0.7888469178427212,0,1785.9325342652617,4372.758091655946,0,0,0,0,0,0,0,0,0,0,61.484789345835054,0,1.3131109947388746,0,VEMU,FALSE
VEMU,210,56,0.9982826183810583,1.638473479598314,0.8345689654835265,0.8345689640740481,0.8345689639611741,0.6906653828630737,0,976.5705167582809,5780.613913521618,0,0,0,0,0,0,0,0,0,0,37.39634916493676,0,1.638473479598314,0,VEMU,FALSE
VEMU,211,56,0.9844710033175206,1.423489713078754,0.36956381733363486,0.36956380692737095,0.36956380603133515,0.6858487444673798,0,963.9754915010541,6580.934650887891,0,0,0,0,0,0,0,0,0,0,62.96393442940883,0,1.423489713078754,0,VEMU,FALSE
VEMU,212,56,0.242868282833169,1.0274391640313107,0.06845414964374992,0.06845414929397052,0.0684541492690561,0.6251344563677912,0,1340.5876793038287,11710.47112004975,0,0,0,0,0,0,0,0,0,0,94.14792499312654,0,1.0274391640313107,0,VEMU,FALSE
VEMU,213,56,0.6146806524858117,1.0828132437705784,0.05432740943439759,0.0543274077668984,0.054327407627258004,0.6419157646266656,0,963.0440091928658,9197.754918670182,0,0,0,0,0,0,0,0,0,0,85.59334842574756,0,1.0828132437705784,0,VEMU,FALSE
VEMU,214,56,0.9982683900722823,1.019263871846788,0.838124033437642,0.8381240334197366,0.8381240334182299,0.7993706999923853,0,961.6984840617555,10470.519384071778,0,0,0,0,0,0,0,0,0,0,156.6264336589689,0,1.019263871846788,0,VEMU,FALSE
VEMU,215,56,0.9983693725099076,1.6748030718108808,0.8761655340809635,0.8761655339275836,0.8761655339137298,0.715867573709809,0,960.0017711401064,9015.716288464666,0,0,0,0,0,0,0,0,0,0,105.05784975792685,0,1.6748030718108808,0,VEMU,FALSE
VEMU,216,56,0.995302654469537,1.049051471208968,0.567180655451296,0.5671806554463847,0.5671806554460086,0.7904085105466003,0,1006.0718099606999,7290.064411763339,0,0,0,0,0,0,0,0,0,0,80.17612332010277,0,1.049051471208968,0,VEMU,FALSE
VEMU,217,56,0.8689817377587984,1.1241986276868834,0.11199488882867649,0.11199488854822882,0.1119948885302419,0.7116555605234496,0,1454.2597655915956,8424.638330770067,0,0,0,0,0,0,0,0,0,0,38.09584013228579,0,1.1241986276868834,0,VEMU,FALSE
VEMU,218,56,0.624599742685228,1.3593155233152676,0.030423917419129354,0.030423913373310924,0.030423913065104884,0.6596120545464972,0,1038.6178377829483,3780.633317777124,0,0,0,0,0,0,0,0,0,0,31.87959095982168,0,1.3593155233152676,0,VEMU,FALSE
